,会社名,仕事内容,勤務地,給与
25,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／土日休み,【入社後はイチから丁寧にレクチャー！】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪,☆転勤なし！全国募集＆勤務地は希望を考慮します♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪…,300万円～550万円
26,株式会社ビッグモーター | ◆最高年収2282万円の先輩も活躍中◆業界No.1企業の安定性◆,《飛込み・テレアポなしの完全反響》お客様の問合せや来店に対して、クルマの販売や買取をお任せします。★3人に1人が契約につながっている仕組み,《全国約300店舗！転勤なし！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ ■北海道…,330万円～1500万円
27,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,収入が大切！という方に見てほしい案件・社宅完備の案件多数！製造工場で部品の組立/検品/梱包/在庫管理等を担当！,【転勤なし】全国40都道府県に配属！全国に約400ヶ所の勤務地 家具家電付きの綺麗な社員寮あり(社…,300万円～400万円
28,UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み,【未経験入社者の平均月収29万円】建設プロジェクトにおける、写真撮影・関係者との打ち合わせ・スタッフの勤怠管理等を担当,【希望勤務地考慮、ご希望考慮します】◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡…,350万円～400万円
29,株式会社レッド・フリップ | ◆入社1年以内にマネージャーへ昇格し年収1000万超えの社員多数,◆目標達成で随時昇給+高率インセン→年収1000万も可能◆光熱費削減&省エネにつながる、オール電化住宅向けの魅力的な商品や新電力を提案します,★転勤なし ★本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆本社:千代田…,500万円～1000万円
30,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,個人宅への宅配やルート配送をお任せします。★軽自動車（AT車）で運ぶので安心★車両のレンタルはもちろん、持ち込みもOK！★3密回避！1人でおシゴト,直行直帰OK 宮城県仙台市 東京都台東区 東京都墨田区 東京都江東区 東京都大田区 東京都世田谷区…,100万円～1000万円
31,株式会社ビッグモーター | ◆平均年収861万円！◆年収2000万円以上の実績あり！◆,【完全反響スタイル！ノルマなし！】ご来店・ お問い合わせのあったお客様へ中古車の販売・買取をお任せします。☆知名度や豊富な在庫が活躍を応援！,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道…,330万円～1500万円
32,ME不動産埼京株式会社 | 11/28 マイナビ転職フェア川越参加＊残業ほぼナシ/年休120日以上,【新規テレアポ・飛込みなし】月12～13件Webなどから問合せがあったお客様に、最適な住まいをご案内。★社長面接1回のみで即内定！入社日相談OK,【埼玉県所沢市、川口市のいずれか】 ※どちらの店舗もマイカー通勤OK(大型駐車場完備) -----…,300万円～800万円
33,日本eリモデル株式会社 | 勤続1年以上の平均月収59万3000円【大阪府緊急雇用対策に賛同】,未経験から成長できるエクステリアプランナー。エクステリア（住まいの外側）を中心にインテリア等、住まい全体のプランニングをお任せします。,■宇都宮支店：栃木県宇都宮市 ■高崎支店：群馬県高崎市 ■埼玉支店 ：埼玉県さいたま市大宮区 ■千…,300万円～700万円
34,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同　――★国家資格も取得可 ★転勤なし,《機械の自動化で需要が高まるポジション》 ロボット・機械の修理や維持点検などの業務をお任せします。 ★まずは同期と一緒の合同研修からスタート！,*◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆あなたの希望の勤務地を考慮します。 ☆将…,400万円～600万円
35,株式会社ビッグモーター | 最新設備が充実／クリーンな環境◆月8日以上休み／賞与年2回,《インセンがあるから月収50万円以上も可能》オイル交換などの簡単な業務から、定期点検や事故車の修理対応などをお任せします。,《転勤なし！U・Iターン歓迎！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ 下記エリア…,300万円～1000万円
36,株式会社ビッグモーター | ★＼業界No.1企業の安定基盤◆平均月収67.6万円！／★,【ノルマやテレアポなしの完全反響】クルマの販売や買取をお任せします。☆月収70万円以上も可能＆平均年収861万円 ☆基礎から学べる教育体制,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道札…,330万円～1500万円
37,"株式会社グランレブリー | 【知名度抜群！テレビCM放映中】年収1,200万円も目指せます！",【多彩な案件に携われる！】マンションや注文住宅などの施工管理　★若手～ベテランまで幅広く活躍中 ★設計～施工・引渡しまでワンストップ体制あり,【転勤なし！阪急「桂」駅／「洛西口」駅からスグ】 ☆U・Iターン歓迎（社員寮あり） ☆マイカー・社…,500万円～1000万円
38,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／年内入社も可能,＜『役職へのキャリアUP』『本社勤務を実現』している社員が多数＞化粧品・医薬品/半導体/自動車分野における各種ものづくり業務★12月・1月入社歓迎,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆社員寮あり(社宅費無料あり※一部住宅…,300万円～500万円
39,UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ,<12月入社歓迎/即入社可能・男性多数活躍中!>研修からスタート！駅ビルや商業施設などの点検・保守等、管理業務 ★殆どが日勤のお仕事★年休120日以上,【希望勤務地考慮、ご希望考慮します】◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡…,300万円～650万円
40,株式会社ビッグモーター | ★月8日休み★ムダな残業なし★転勤なし★産休育休の実績多数,【100%反響スタイル＆ノルマなし】ご来店されたお客さまに「欲しいクルマ」を伺い、在庫からピッタリなクルマをご提案する仕事です。,全国約300店舗/転勤なし/マイカー通勤OK 勤務地は希望を最大限考慮 ■北海道 ■岩手県/宮城県…,330万円～1500万円
41,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,【テレアポ・飛び込みナシ】お問い合わせに対応する完全反響型の戸建住宅営業。希望や適性に応じて、分譲住宅／注文住宅のいずれかをお任せします。,"★全国＆希望を考慮 [宮城県]仙台 [福島県]郡山,いわき,白河 [茨城県]牛久,水戸,守谷 [栃…",【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…
42,株式会社グラスト | ★土日祝休み ★年間休日124日 ★20代男性活躍中,【研修充実／早期キャリアUP】◆人材不足にお悩みの企業様を訪問し、ヒアリング。課題を確認し、企業様ごとに最適な解決方法を提案します。,※転勤なし/希望を考慮 ※北海道/仙台/東京/横浜/大阪/難波/天神/宮崎/那覇の各拠点 ★東京・…,350万円～700万円
43,株式会社みらい住宅開発紀行 | ◆各種祝金あり◆研修制度あり【大阪府緊急雇用対策に賛同】,お客様の住まいに関する課題や問題点をお聞きし、最適なリフォームプランを一緒に考え、ご提案します。,◎本人が希望する以外の転勤はありません ◎U・Iターン歓迎！希望を考慮の上、勤務地を決定します ◎…,300万円～850万円
44,株式会社ブライトノア | 【ゲーム/AR/VRなどエンタメ案件も】★年休125日★残業20h以下,【多彩な案件あり】希望やレベルに沿ったプロジェクトからスタート！　★経験が浅い方には研修も◎★スペシャリスト志向・マネジメント志向いずれもOK,【転勤なし】 ◆本社/四ツ谷オフィス 東京都新宿区大京町22-2 大京町PJビル8F ＊東京メトロ…,350万円～700万円
45,株式会社ゴールドファステート | 【テレビCM放映中！】※大阪府緊急雇用対策に賛同,【20代活躍中！】お金に関して、将来の生活に不安を抱える方がお客様。年金対策や資産運用を目的とした、新築マンションの相談・提案をお任せします。,【転勤なし／「心斎橋駅・なんば駅」から徒歩5分】 大阪府大阪市中央区西心斎橋2-2-7 御堂筋ジュ…,450万円～700万円
46,株式会社グランレブリー | CMなど広告で知名度上昇中！京都有数の総合建設会社 ※転勤なし,【テレアポ・飛び込み・ノルマなし】ご来店や問合せのあったお客様に対する営業。適性に応じて、売買もしくは賃貸をご担当いただきます。,【阪急「桂」駅から徒歩3分】 ※転勤なし ※U・Iターン歓迎（社員寮あり） 本社／京都市西京区桂野…,350万円～1000万円
47,サンワホームズ株式会社 | ★経験者:月給28万円～／未経験者:月給25万円～ ★残業ほぼなし,【100％反響型★テレアポ＆飛び込みナシ】目黒区・世田谷区等の高級物件に特化！住まいを「売りたい」or「購入したい」というお客様をサポート,★転勤なし ★東急東横線『学芸大学』駅 徒歩8分！ 【本社】東京都目黒区碑文谷5-6-9　サンワホ…,400万円～550万円
48,株式会社ライジングサンセキュリティーサービス | ★面接保証あり★入社祝い金3万円あり★英語スキル(優遇！),【オフィスビルや商業施設など】★さまざまな施設に常駐し、施設全体やお客様の安全を守るお仕事 ☆危険な業務は一切なし！簡単な業務からスタート♪,＜茨城県つくば市エリアの各現場＞ ※ご希望に応じて配属現場を決定します ※現場へ直行直帰OK！ 茨…,250万円～400万円
49,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,ルート営業にて、資格取得を目指す受験生へ受験支援を行い、日建学院の受講生募集とフォローをしていただきます。☆充実した研修で未経験でも安心！,＜転勤なし＞全国にある日建学院直営校（112校）のいずれか ※希望を考慮し決定します。 【北日本地…,350万円～550万円
